Resultados do Universo do Censo Demográfico 2010;;;;;;;;Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;
Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;
;;;;;;;(continua);;;;;;;;(conclusão);;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Código da Unidade Geográfica;;;;;;;
;Total;Grupos de idade;;;;;;;Grupos de idade;;;;;;;;;;;;;;
;;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 17 anos;18 ou 19 anos;20 a 24 anos;;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais;;;;;;;;
Total; 41 262 199 ; 2 675 372 ; 2 860 633 ; 3 324 913 ; 1 990 247 ; 1 313 661 ; 3 637 688 ;Total; 3 789 789 ; 3 556 447 ; 3 184 121 ; 5 733 797 ; 4 424 095 ; 2 646 095 ; 2 125 341 ;35;;;;;;;
Região Administrativa 08;  6 363 ;   526 ;   492 ;   552 ;   325 ;   185 ;   576 ;Região Administrativa 08;   727 ;   738 ;   561 ;   765 ;   530 ;   258 ;   128 ;3533403008;;;;;;;
Região Administrativa 09;  2 395 ;   123 ;   114 ;   160 ;   99 ;   77 ;   199 ;Região Administrativa 09;   209 ;   208 ;   170 ;   385 ;   292 ;   224 ;   135 ;3533403009;;;;;;;
Região Administrativa 10;  8 657 ;   443 ;   434 ;   545 ;   322 ;   260 ;   705 ;Região Administrativa 10;   845 ;   660 ;   650 ;  1 290 ;  1 112 ;   726 ;   665 ;3533403010;;;;;;;
Região Administrativa 11;  3 221 ;   188 ;   198 ;   225 ;   157 ;   87 ;   283 ;Região Administrativa 11;   317 ;   280 ;   234 ;   427 ;   388 ;   255 ;   182 ;3533403011;;;;;;;
Região Administrativa 12;  1 644 ;   100 ;   123 ;   116 ;   104 ;   68 ;   129 ;Região Administrativa 12;   120 ;   132 ;   128 ;   276 ;   207 ;   76 ;   65 ;3533403012;;;;;;;
Região Administrativa 13;  1 188 ;   73 ;   96 ;   125 ;   75 ;   33 ;   118 ;Região Administrativa 13;   98 ;   91 ;   69 ;   183 ;   137 ;   47 ;   43 ;3533403013;;;;;;;
Região Administrativa 14;  2 596 ;   143 ;   144 ;   169 ;   135 ;   76 ;   213 ;Região Administrativa 14;   231 ;   201 ;   176 ;   383 ;   323 ;   190 ;   212 ;3533403014;;;;;;;
Região Administrativa 15;  4 347 ;   244 ;   278 ;   339 ;   204 ;   148 ;   394 ;Região Administrativa 15;   371 ;   327 ;   348 ;   609 ;   519 ;   308 ;   258 ;3533403015;;;;;;;
Região Administrativa 16;  5 381 ;   286 ;   343 ;   361 ;   275 ;   187 ;   488 ;Região Administrativa 16;   490 ;   386 ;   399 ;   874 ;   706 ;   352 ;   234 ;3533403016;;;;;;;
Região Administrativa 17;   518 ;   28 ;   34 ;   41 ;   36 ;   18 ;   44 ;Região Administrativa 17;   33 ;   33 ;   35 ;   74 ;   68 ;   55 ;   19 ;3533403017;;;;;;;
Osasco;  666 740 ;  45 126 ;  47 748 ;  55 161 ;  32 447 ;  21 034 ;  61 068 ;Osasco;  63 628 ;  59 952 ;  53 125 ;  93 925 ;  68 410 ;  38 088 ;  27 028 ;3534401;;;;;;;
Adalgisa;  5 537 ;   334 ;   352 ;   392 ;   209 ;   134 ;   442 ;Adalgisa;   476 ;   450 ;   493 ;   846 ;   761 ;   439 ;   209 ;3534401025;;;;;;;
Aliança;  18 820 ;  1 483 ;  1 523 ;  1 876 ;  1 153 ;   699 ;  2 002 ;Aliança;  1 765 ;  1 686 ;  1 490 ;  2 656 ;  1 452 ;   650 ;   385 ;3534401033;;;;;;;
Ayrosa;  22 589 ;  1 559 ;  1 505 ;  1 702 ;   992 ;   650 ;  2 074 ;Ayrosa;  2 332 ;  2 068 ;  1 762 ;  3 108 ;  2 385 ;  1 379 ;  1 073 ;3534401022;;;;;;;
Bandeiras;  19 626 ;  1 499 ;  1 695 ;  1 796 ;  1 023 ;   653 ;  1 804 ;Bandeiras;  1 861 ;  1 955 ;  1 824 ;  2 692 ;  1 650 ;   754 ;   420 ;3534401047;;;;;;;
Baronesa;  13 408 ;   913 ;   969 ;  1 147 ;   663 ;   453 ;  1 361 ;Baronesa;  1 374 ;  1 109 ;  1 043 ;  1 873 ;  1 333 ;   720 ;   450 ;3534401043;;;;;;;
Bela Vista;  13 127 ;   578 ;   653 ;   851 ;   506 ;   360 ;  1 119 ;Bela Vista;  1 115 ;  1 010 ;   900 ;  2 093 ;  1 688 ;  1 173 ;  1 081 ;3534401019;;;;;;;
Bonança;  14 068 ;  1 267 ;  1 390 ;  1 618 ;   833 ;   508 ;  1 346 ;Bonança;  1 412 ;  1 292 ;  1 161 ;  1 766 ;   968 ;   342 ;   165 ;3534401052;;;;;;;
Bonfim;  1 486 ;   76 ;   72 ;   76 ;   59 ;   56 ;   134 ;Bonfim;   132 ;   103 ;   96 ;   208 ;   203 ;   148 ;   123 ;3534401010;;;;;;;
Bussocaba;  11 750 ;   795 ;   856 ;   990 ;   586 ;   360 ;  1 092 ;Bussocaba;  1 176 ;  1 110 ;   842 ;  1 623 ;  1 187 ;   684 ;   449 ;3534401045;;;;;;;
Castelo Branco;  5 238 ;   409 ;   460 ;   554 ;   294 ;   217 ;   561 ;Castelo Branco;   474 ;   425 ;   434 ;   663 ;   415 ;   200 ;   132 ;3534401029;;;;;;;
Centro;  11 375 ;   441 ;   473 ;   603 ;   372 ;   309 ;   817 ;Centro;   967 ;   861 ;   889 ;  1 788 ;  1 572 ;  1 036 ;  1 247 ;3534401003;;;;;;;
Cidade das Flores;  9 413 ;   497 ;   487 ;   633 ;   410 ;   283 ;   890 ;Cidade das Flores;   967 ;   823 ;   700 ;  1 469 ;  1 390 ;   508 ;   356 ;3534401027;;;;;;;
Cidade de Deus;   310 ;   7 ;   20 ;   27 ;   13 ;   3 ;   31 ;Cidade de Deus;   19 ;   26 ;   27 ;   45 ;   40 ;   29 ;   23 ;3534401015;;;;;;;
Cipava;  10 007 ;   473 ;   530 ;   696 ;   428 ;   327 ;   877 ;Cipava;   842 ;   796 ;   701 ;  1 411 ;  1 250 ;   940 ;   736 ;3534401006;;;;;;;
City Bussocaba;  2 822 ;   147 ;   187 ;   235 ;   137 ;   99 ;   229 ;City Bussocaba;   241 ;   192 ;   222 ;   463 ;   399 ;   174 ;   97 ;3534401050;;;;;;;
Helena Maria;  21 890 ;  1 668 ;  1 670 ;  1 850 ;  1 051 ;   706 ;  2 188 ;Helena Maria;  2 280 ;  2 044 ;  1 750 ;  2 785 ;  2 066 ;  1 209 ;   623 ;3534401042;;;;;;;
Iapi;  13 641 ;   726 ;   810 ;  1 032 ;   634 ;   397 ;  1 268 ;Iapi;  1 321 ;  1 199 ;  1 022 ;  2 105 ;  1 794 ;   831 ;   502 ;3534401021;;;;;;;
Industrial Anhanguera;  5 630 ;   526 ;   489 ;   583 ;   331 ;   214 ;   567 ;Industrial Anhanguera;   533 ;   475 ;   461 ;   735 ;   420 ;   202 ;   94 ;3534401049;;;;;;;
Industrial Autonomistas;  6 760 ;   479 ;   445 ;   406 ;   217 ;   149 ;   475 ;Industrial Autonomistas;   625 ;   805 ;   863 ;  1 262 ;   586 ;   277 ;   171 ;3534401012;;;;;;;
Industrial Centro;   38 ;   1 ;   3 ;   1 ;   3 ;   2 ;   5 ;Industrial Centro;   4 ;   3 ;   3 ;   2 ;   8 ;   3 ;- ;3534401005;;;;;;;
Industrial Mazzei;  2 669 ;   223 ;   199 ;   254 ;   140 ;   76 ;   254 ;Industrial Mazzei;   266 ;   241 ;   233 ;   347 ;   224 ;   126 ;   86 ;3534401039;;;;;;;
Industrial Remédios;  2 364 ;   131 ;   140 ;   182 ;   123 ;   80 ;   234 ;Industrial Remédios;   204 ;   180 ;   169 ;   347 ;   303 ;   172 ;   99 ;3534401023;;;;;;;
Jaguaribe;  19 687 ;  1 262 ;  1 312 ;  1 496 ;   802 ;   555 ;  1 543 ;Jaguaribe;  1 923 ;  1 985 ;  1 728 ;  2 895 ;  2 104 ;  1 232 ;   850 ;3534401035;;;;;;;
Jardim Conceição;  31 441 ;  2 597 ;  2 846 ;  3 158 ;  1 710 ;  1 044 ;  2 980 ;Jardim Conceição;  3 272 ;  3 140 ;  2 606 ;  4 016 ;  2 403 ;  1 121 ;   548 ;3534401057;;;;;;;
Jardim D'Abril;  14 445 ;   785 ;   890 ;  1 010 ;   570 ;   408 ;  1 259 ;Jardim D'Abril;  1 336 ;  1 208 ;  1 127 ;  2 151 ;  1 811 ;  1 069 ;   821 ;3534401034;;;;;;;
Jardim das Flores;  10 603 ;   471 ;   530 ;   619 ;   390 ;   285 ;   873 ;Jardim das Flores;   964 ;   960 ;   694 ;  1 441 ;  1 445 ;  1 112 ;   819 ;3534401001;;;;;;;
Jardim Elvira;  10 786 ;   747 ;   781 ;   909 ;   555 ;   330 ;  1 043 ;Jardim Elvira;  1 073 ;   883 ;   772 ;  1 538 ;  1 053 ;   600 ;   502 ;3534401032;;;;;;;
Jardim Novo Osasco;  16 575 ;  1 145 ;  1 154 ;  1 278 ;   799 ;   569 ;  1 471 ;Jardim Novo Osasco;  1 594 ;  1 440 ;  1 215 ;  2 329 ;  1 815 ;  1 106 ;   660 ;3534401051;;;;;;;
Jardim Roberto;  19 576 ;  1 387 ;  1 393 ;  1 641 ;   996 ;   600 ;  1 828 ;Jardim Roberto;  2 017 ;  1 748 ;  1 584 ;  2 645 ;  1 916 ;  1 075 ;   746 ;3534401020;;;;;;;
Km 18;  12 474 ;   629 ;   654 ;   766 ;   497 ;   345 ;  1 027 ;Km 18;  1 116 ;  1 013 ;   862 ;  1 851 ;  1 678 ;  1 083 ;   953 ;3534401002;;;;;;;
Metalúrgicos;  6 710 ;   348 ;   402 ;   463 ;   307 ;   233 ;   639 ;Metalúrgicos;   654 ;   550 ;   482 ;  1 139 ;   949 ;   365 ;   179 ;3534401054;;;;;;;
Munhoz Júnior;  29 859 ;  2 462 ;  2 433 ;  2 711 ;  1 714 ;  1 093 ;  3 078 ;Munhoz Júnior;  2 947 ;  2 551 ;  2 229 ;  3 972 ;  2 656 ;  1 233 ;   780 ;3534401038;;;;;;;
Mutinga;  11 937 ;   781 ;   841 ;   999 ;   580 ;   382 ;  1 106 ;Mutinga;  1 152 ;  1 092 ;   969 ;  1 574 ;  1 221 ;   755 ;   485 ;3534401040;;;;;;;
Padroeira;  25 633 ;  2 176 ;  2 289 ;  2 488 ;  1 422 ;   849 ;  2 393 ;Padroeira;  2 431 ;  2 315 ;  1 936 ;  3 353 ;  2 040 ;  1 221 ;   720 ;3534401041;;;;;;;
Paiva Ramos;  1 597 ;   171 ;   196 ;   186 ;   90 ;   60 ;   164 ;Paiva Ramos;   156 ;   144 ;   121 ;   192 ;   78 ;   31 ;   8 ;3534401055;;;;;;;
Parque Continental;   430 ;   14 ;   18 ;   16 ;   5 ;   4 ;   17 ;Parque Continental;   22 ;   32 ;   30 ;   56 ;   68 ;   105 ;   43 ;3534401013;;;;;;;
Pestana;  13 334 ;   701 ;   753 ;   906 ;   544 ;   349 ;  1 131 ;Pestana;  1 205 ;  1 119 ;   935 ;  1 941 ;  1 737 ;  1 147 ;   866 ;3534401008;;;;;;;
Piratininga;  12 514 ;  1 017 ;   983 ;  1 198 ;   627 ;   383 ;  1 148 ;Piratininga;  1 194 ;  1 254 ;  1 149 ;  1 745 ;  1 043 ;   444 ;   329 ;3534401016;;;;;;;
Platina;  2 510 ;   172 ;   205 ;   213 ;   153 ;   81 ;   233 ;Platina;   240 ;   241 ;   196 ;   349 ;   230 ;   107 ;   90 ;3534401053;;;;;;;
Portal D'Oeste;  10 658 ;   843 ;   880 ;  1 076 ;   608 ;   368 ;  1 061 ;Portal D'Oeste;  1 044 ;  1 014 ;   889 ;  1 369 ;   897 ;   434 ;   175 ;3534401048;;;;;;;
Presidente Altino;  9 380 ;   417 ;   514 ;   550 ;   354 ;   236 ;   850 ;Presidente Altino;   822 ;   835 ;   713 ;  1 359 ;  1 146 ;   755 ;   829 ;3534401011;;;;;;;
Quintauna;  8 786 ;   515 ;   506 ;   556 ;   376 ;   211 ;   725 ;Quintauna;   849 ;   794 ;   700 ;  1 277 ;  1 178 ;   665 ;   434 ;3534401037;;;;;;;
Raposo Tavares;X ;X ;X ;X ;X ;X ;X ;Raposo Tavares;X ;X ;X ;X ;X ;X ;X ;3534401059;;;;;;;
Remédios;  5 515 ;   300 ;   330 ;   363 ;   238 ;   166 ;   513 ;Remédios;   489 ;   449 ;   372 ;   768 ;   674 ;   404 ;   449 ;3534401030;;;;;;;
Rochale;  28 501 ;  1 921 ;  1 968 ;  2 481 ;  1 500 ;   957 ;  2 789 ;Rochale;  2 742 ;  2 462 ;  2 287 ;  3 904 ;  2 935 ;  1 471 ;  1 084 ;3534401017;;;;;;;
Santa Fé;  1 007 ;   73 ;   73 ;   98 ;   55 ;   36 ;   86 ;Santa Fé;   87 ;   98 ;   88 ;   145 ;   81 ;   60 ;   27 ;3534401058;;;;;;;
Santa Maria;  22 520 ;  1 788 ;  1 990 ;  2 382 ;  1 333 ;   821 ;  2 070 ;Santa Maria;  2 036 ;  2 095 ;  2 152 ;  3 328 ;  1 615 ;   615 ;   295 ;3534401060;;;;;;;
Santo Antônio;  11 466 ;   656 ;   734 ;   911 ;   558 ;   354 ;  1 016 ;Santo Antônio;  1 029 ;   888 ;   895 ;  1 676 ;  1 326 ;   863 ;   560 ;3534401031;;;;;;;
São Pedro;  16 902 ;  1 287 ;  1 394 ;  1 652 ;   939 ;   529 ;  1 476 ;São Pedro;  1 581 ;  1 642 ;  1 450 ;  2 339 ;  1 487 ;   718 ;   408 ;3534401036;;;;;;;
Setor Militar;   279 ;   42 ;   43 ;   36 ;   15 ;   11 ;   24 ;Setor Militar;   27 ;   22 ;   24 ;   18 ;   11 ;   5 ;   1 ;3534401009;;;;;;;
Três Montanhas;  1 853 ;   168 ;   131 ;   169 ;   90 ;   51 ;   184 ;Três Montanhas;   153 ;   188 ;   153 ;   262 ;   155 ;   110 ;   39 ;3534401056;;;;;;;
Umuarama;  5 078 ;   232 ;   276 ;   349 ;   197 ;   138 ;   445 ;Umuarama;   433 ;   395 ;   339 ;   780 ;   721 ;   394 ;   379 ;3534401026;;;;;;;
Veloso;  30 464 ;  2 234 ;  2 356 ;  2 480 ;  1 513 ;  1 025 ;  2 586 ;Veloso;  2 957 ;  3 010 ;  2 526 ;  4 154 ;  3 003 ;  1 569 ;  1 051 ;3534401046;;;;;;;
Vila Campesina;  2 571 ;   97 ;   137 ;   147 ;   86 ;   54 ;   161 ;Vila Campesina;   197 ;   196 ;   209 ;   445 ;   326 ;   235 ;   281 ;3534401014;;;;;;;
Vila Menk;  23 646 ;  1 771 ;  1 895 ;  2 145 ;  1 161 ;   751 ;  2 232 ;Vila Menk;  2 255 ;  2 326 ;  1 959 ;  3 086 ;  2 003 ;  1 280 ;   782 ;3534401044;;;;;;;
Vila Militar;   250 ;   22 ;   22 ;   14 ;   12 ;   7 ;   14 ;Vila Militar;   30 ;   48 ;   30 ;   40 ;   7 ;   3 ;   1 ;3534401028;;;;;;;
Vila Osasco;  10 392 ;   502 ;   513 ;   615 ;   388 ;   300 ;   863 ;Vila Osasco;   894 ;   785 ;   736 ;  1 663 ;  1 468 ;   842 ;   823 ;3534401004;;;;;;;
Vila Yara;  9 436 ;   357 ;   422 ;   520 ;   362 ;   260 ;   751 ;Vila Yara;   812 ;   801 ;   705 ;  1 596 ;  1 306 ;   843 ;   701 ;3534401018;;;;;;;
Vila Yolanda;  14 703 ;   804 ;   956 ;  1 052 ;   650 ;   406 ;  1 343 ;Vila Yolanda;  1 331 ;  1 292 ;  1 136 ;  2 203 ;  1 721 ;  1 020 ;   789 ;3534401007;;;;;;;
Ouro Verde;  7 800 ;   534 ;   595 ;   643 ;   412 ;   256 ;   672 ;Ouro Verde;   634 ;   559 ;   561 ;  1 058 ;   794 ;   559 ;   523 ;3534807;;;;;;;
Centro;   528 ;   16 ;   26 ;   29 ;   21 ;   13 ;   39 ;Centro;   35 ;   38 ;   24 ;   81 ;   76 ;   60 ;   70 ;3534807005;;;;;;;
Industrial;   888 ;   75 ;   70 ;   70 ;   49 ;   30 ;   75 ;Industrial;   89 ;   76 ;   68 ;   116 ;   74 ;   52 ;   44 ;3534807001;;;;;;;
Nova Esperança;  2 467 ;   175 ;   199 ;   242 ;   144 ;   75 ;   222 ;Nova Esperança;   227 ;   160 ;   166 ;   327 ;   251 ;   139 ;   140 ;3534807003;;;;;;;
Paraíso;  1 458 ;   118 ;   97 ;   110 ;   84 ;   53 ;   129 ;Paraíso;   103 ;   104 ;   105 ;   202 ;   153 ;   100 ;   100 ;3534807004;;;;;;;
Primavera;  1 835 ;   112 ;   148 ;   136 ;   87 ;   70 ;   174 ;Primavera;   138 ;   145 ;   150 ;   252 ;   169 ;   131 ;   123 ;3534807002;;;;;;;
Paulínia;  82 146 ;  5 775 ;  6 123 ;  6 559 ;  3 976 ;  2 711 ;  7 381 ;Paulínia;  7 704 ;  7 776 ;  7 124 ;  12 008 ;  8 127 ;  4 131 ;  2 751 ;3536505;;;;;;;
Alto Pinheiros;  5 595 ;   427 ;   421 ;   455 ;   328 ;   230 ;   629 ;Alto Pinheiros;   526 ;   540 ;   438 ;   815 ;   463 ;   197 ;   126 ;3536505022;;;;;;;
Balneário Tropical;   169 ;   12 ;   10 ;   7 ;   7 ;   6 ;   17 ;Balneário Tropical;   19 ;   15 ;   11 ;   22 ;   18 ;   15 ;   10 ;3536505018;;;;;;;
Bela Vista;   547 ;   30 ;   38 ;   55 ;   29 ;   16 ;   48 ;Bela Vista;   44 ;   47 ;   57 ;   90 ;   42 ;   35 ;   16 ;3536505015;;;;;;;
Belvedere do Lago;   32 ;   2 ;   5 ;   3 ;   2 ;   1 ;   4 ;Belvedere do Lago;   3 ;   1 ;   1 ;   4 ;   2 ;   4 ;- ;3536505020;;;;;;;
Betel;  4 217 ;   324 ;   360 ;   325 ;   187 ;   96 ;   258 ;Betel;   308 ;   480 ;   502 ;   727 ;   413 ;   161 ;   76 ;3536505033;;;;;;;
Boa Esperança;   241 ;   24 ;   15 ;   16 ;   17 ;   6 ;   18 ;Boa Esperança;   11 ;   23 ;   25 ;   39 ;   26 ;   12 ;   9 ;3536505030;;;;;;;
Bonfim;   274 ;   17 ;   22 ;   27 ;   17 ;   8 ;   18 ;Bonfim;   21 ;   26 ;   19 ;   41 ;   31 ;   16 ;   11 ;3536505031;;;;;;;
Cascata;   39 ;   3 ;   4 ;   4 ;   1 ;- ;- ;Cascata;   5 ;   3 ;   7 ;   4 ;   3 ;   3 ;   2 ;3536505035;;;;;;;
Dona Edith de Campos Favaro;  2 789 ;   239 ;   196 ;   205 ;   148 ;   98 ;   285 ;Dona Edith de Campos Favaro;   332 ;   256 ;   179 ;   304 ;   318 ;   132 ;   97 ;3536505023;;;;;;;
Jardim América;   932 ;   43 ;   76 ;   64 ;   32 ;   40 ;   70 ;Jardim América;   84 ;   65 ;   101 ;   164 ;   130 ;   39 ;   24 ;3536505027;;;;;;;
Jardim de Itapoan;   980 ;   34 ;   48 ;   47 ;   34 ;   21 ;   86 ;Jardim de Itapoan;   99 ;   69 ;   75 ;   141 ;   143 ;   102 ;   81 ;3536505002;;;;;;;
Jardim dos Calegaris;  1 621 ;   92 ;   102 ;   111 ;   66 ;   39 ;   125 ;Jardim dos Calegaris;   150 ;   150 ;   138 ;   228 ;   214 ;   123 ;   83 ;3536505004;;;;;;;
Jardim Flamboyant;  1 933 ;   129 ;   137 ;   158 ;   80 ;   53 ;   180 ;Jardim Flamboyant;   184 ;   182 ;   168 ;   233 ;   209 ;   113 ;   107 ;3536505039;;;;;;;
Jardim Fortaleza;  1 372 ;   72 ;   65 ;   98 ;   64 ;   56 ;   128 ;Jardim Fortaleza;   121 ;   95 ;   105 ;   243 ;   199 ;   79 ;   47 ;3536505005;;;;;;;
Jardim Harmonia;   22 ;   2 ;   1 ;   1 ;   2 ;   2 ;   3 ;Jardim Harmonia;   3 ;   1 ;   2 ;   3 ;   2 ;- ;- ;3536505029;;;;;;;
Jardim Itapoan;  1 915 ;   107 ;   148 ;   150 ;   95 ;   68 ;   131 ;Jardim Itapoan;   156 ;   181 ;   174 ;   301 ;   215 ;   116 ;   73 ;3536505021;;;;;;;
Jardim N. S. Aparecida;   518 ;   27 ;   21 ;   31 ;   14 ;   15 ;   40 ;Jardim N. S. Aparecida;   51 ;   40 ;   34 ;   80 ;   104 ;   33 ;   28 ;3536505011;;;;;;;
Jardim Planalto;  5 382 ;   385 ;   397 ;   485 ;   259 ;   210 ;   510 ;Jardim Planalto;   479 ;   449 ;   441 ;   846 ;   521 ;   252 ;   148 ;3536505016;;;;;;;
Jardim Vista Alegre;  1 167 ;   47 ;   56 ;   74 ;   47 ;   31 ;   111 ;Jardim Vista Alegre;   112 ;   85 ;   81 ;   193 ;   143 ;   111 ;   76 ;3536505003;;;;;;;
Jardim Ypê;  1 065 ;   79 ;   61 ;   77 ;   38 ;   30 ;   84 ;Jardim Ypê;   109 ;   143 ;   126 ;   161 ;   87 ;   53 ;   17 ;3536505032;;;;;;;
João Aranha;  14 835 ;  1 142 ;  1 243 ;  1 236 ;   700 ;   528 ;  1 397 ;João Aranha;  1 532 ;  1 538 ;  1 359 ;  2 068 ;  1 205 ;   526 ;   361 ;3536505017;;;;;;;
Morumbi;  1 888 ;   129 ;   108 ;   140 ;   78 ;   53 ;   156 ;Morumbi;   190 ;   200 ;   138 ;   280 ;   199 ;   120 ;   97 ;3536505034;;;;;;;
Nova Paulínia;  1 027 ;   35 ;   45 ;   43 ;   33 ;   17 ;   83 ;Nova Paulínia;   85 ;   71 ;   59 ;   151 ;   130 ;   122 ;   153 ;3536505001;;;;;;;
Nova Veneza;  1 484 ;   133 ;   132 ;   124 ;   65 ;   53 ;   93 ;Nova Veneza;   140 ;   181 ;   145 ;   198 ;   120 ;   56 ;   44 ;3536505019;;;;;;;
Parque Bom Retiro;  9 192 ;   820 ;   846 ;   905 ;   491 ;   313 ;   792 ;Parque Bom Retiro;   867 ;   972 ;   887 ;  1 271 ;   595 ;   291 ;   142 ;3536505037;;;;;;;
Parque Brasil 500;  2 137 ;   137 ;   159 ;   158 ;   99 ;   62 ;   154 ;Parque Brasil 500;   132 ;   167 ;   226 ;   474 ;   227 ;   83 ;   59 ;3536505036;;;;;;;
Parque da Figueira;   355 ;   19 ;   20 ;   30 ;   14 ;   13 ;   37 ;Parque da Figueira;   37 ;   38 ;   20 ;   51 ;   41 ;   17 ;   18 ;3536505028;;;;;;;
Poço Fundo;   29 ;- ;   1 ;   2 ;   1 ;- ;   4 ;Poço Fundo;   2 ;   1 ;   1 ;   7 ;   5 ;   2 ;   3 ;3536505014;;;;;;;
Saltinho;  2 069 ;   182 ;   190 ;   246 ;   156 ;   90 ;   189 ;Saltinho;   171 ;   142 ;   162 ;   276 ;   137 ;   72 ;   56 ;3536505026;;;;;;;
Santa Cecília;  1 634 ;   77 ;   92 ;   88 ;   55 ;   44 ;   182 ;Santa Cecília;   161 ;   137 ;   117 ;   223 ;   193 ;   141 ;   124 ;3536505006;;;;;;;
Santa Terezinha;  1 681 ;   98 ;   93 ;   127 ;   82 ;   52 ;   164 ;Santa Terezinha;   151 ;   152 ;   138 ;   251 ;   199 ;   99 ;   75 ;3536505012;;;;;;;
São Bento;   183 ;   14 ;   26 ;   13 ;   12 ;   5 ;   13 ;São Bento;   24 ;   24 ;   17 ;   19 ;   11 ;   4 ;   1 ;3536505038;;;;;;;
São Domingos;   97 ;   7 ;   7 ;   8 ;   5 ;   2 ;   12 ;São Domingos;   4 ;   8 ;   8 ;   17 ;   8 ;   10 ;   1 ;3536505025;;;;;;;
São Luiz;   873 ;   83 ;   76 ;   73 ;   47 ;   28 ;   83 ;São Luiz;   70 ;   111 ;   98 ;   113 ;   44 ;   32 ;   15 ;3536505024;;;;;;;
Vila Bressani;  1 404 ;   67 ;   79 ;   76 ;   66 ;   30 ;   132 ;Vila Bressani;   142 ;   117 ;   85 ;   190 ;   210 ;   111 ;   99 ;3536505007;;;;;;;
Vila José Paulino Nogueira;  1 425 ;   92 ;   107 ;   104 ;   64 ;   35 ;   118 ;Vila José Paulino Nogueira;   135 ;   122 ;   113 ;   211 ;   126 ;   123 ;   75 ;3536505009;;;;;;;
Vila Monte Alegre;  10 119 ;   592 ;   660 ;   739 ;   502 ;   334 ;   950 ;Vila Monte Alegre;   964 ;   856 ;   794 ;  1 466 ;  1 283 ;   628 ;   351 ;3536505010;;;;;;;
Vila Presidente Médici;   828 ;   50 ;   50 ;   48 ;   33 ;   24 ;   68 ;Vila Presidente Médici;   78 ;   84 ;   67 ;   93 ;   98 ;   93 ;   42 ;3536505008;;;;;;;
Piracicaba;  364 571 ;  22 183 ;  24 084 ;  28 116 ;  17 027 ;  11 512 ;  31 927 ;Piracicaba;  34 280 ;  31 169 ;  27 382 ;  50 583 ;  40 754 ;  24 851 ;  20 703 ;3538709;;;;;;;
Abaeté;   615 ;   32 ;   30 ;   45 ;   26 ;   21 ;   52 ;Abaeté;   44 ;   43 ;   57 ;   105 ;   97 ;   40 ;   23 ;3538709016;;;;;;;
Agronomia;   48 ;   1 ;   1 ;   8 ;   1 ;- ;   9 ;Agronomia;   4 ;- ;   5 ;   13 ;   6 ;- ;- ;3538709014;;;;;;;
Água Branca;  21 388 ;  1 492 ;  1 776 ;  1 944 ;  1 119 ;   670 ;  1 723 ;Água Branca;  1 969 ;  2 071 ;  2 003 ;  3 165 ;  1 906 ;   949 ;   601 ;3538709027;;;;;;;
Água Santa;   104 ;   16 ;   6 ;   6 ;   4 ;   2 ;   16 ;Água Santa;   18 ;   12 ;   3 ;   4 ;   5 ;   7 ;   5 ;3538709064;;;;;;;
Algodoal;  10 963 ;   596 ;   623 ;   783 ;   496 ;   310 ;   969 ;Algodoal;   984 ;   928 ;   720 ;  1 532 ;  1 364 ;   861 ;   797 ;3538709049;;;;;;;
Areião;   873 ;   28 ;   32 ;   39 ;   24 ;   28 ;   125 ;Areião;   92 ;   56 ;   42 ;   86 ;   122 ;   105 ;   94 ;3538709051;;;;;;;
Bairro Verde;  1 477 ;   88 ;   124 ;   104 ;   57 ;   50 ;   117 ;Bairro Verde;   152 ;   136 ;   127 ;   208 ;   161 ;   83 ;   70 ;3538709030;;;;;;;
Campestre;  3 983 ;   307 ;   329 ;   420 ;   221 ;   115 ;   323 ;Campestre;   320 ;   368 ;   339 ;   524 ;   384 ;   177 ;   156 ;3538709029;;;;;;;
Castelinho;  3 968 ;   156 ;   175 ;   252 ;   169 ;   117 ;   311 ;Castelinho;   375 ;   303 ;   270 ;   627 ;   594 ;   372 ;   247 ;3538709037;;;;;;;
CECAP;  6 920 ;   402 ;   419 ;   494 ;   305 ;   250 ;   690 ;CECAP;   706 ;   501 ;   377 ;  1 013 ;   976 ;   487 ;   300 ;3538709025;;;;;;;
Centro;  13 185 ;   491 ;   501 ;   585 ;   378 ;   313 ;   937 ;Centro;  1 052 ;  1 041 ;   949 ;  1 807 ;  1 794 ;  1 406 ;  1 931 ;3538709001;;;;;;;
Cidade Alta;  9 496 ;   349 ;   306 ;   419 ;   310 ;   259 ;   823 ;Cidade Alta;   818 ;   686 ;   593 ;  1 287 ;  1 382 ;   937 ;  1 327 ;3538709002;;;;;;;
