Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;;;;
Tabela 4.20.1.1 - População residente, por situação do domicílio e sexo, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;;;Código da Unidade Geográfica;;;;;;;;
;Total                                                                           ;Homens                                                                          ;Mulheres                                                                        ;Situação do domicílio e sexo;;;;;;;;;;;;;;
;;;;Urbana                                                                          ;;;Rural                                                                         ;;;;;;;;;;;
;;;;Total;Homens                                                                          ;Mulheres                                                                        ;Total;Homens                                                                          ;Mulheres                                                                        ;;;;;;;;;
Jardim Magaly;  2 498 ;  1 223 ;  1 275 ;  2 498 ;  1 223 ;  1 275 ;- ;- ;- ;3515004049;;;;;;;;
Jardim Marina;  1 704 ;   837 ;   867 ;  1 704 ;   837 ;   867 ;- ;- ;- ;3515004050;;;;;;;;
Jardim Mimas;  3 732 ;  1 851 ;  1 881 ;  3 732 ;  1 851 ;  1 881 ;- ;- ;- ;3515004051;;;;;;;;
Jardim Nayara;  1 071 ;   534 ;   537 ;  1 071 ;   534 ;   537 ;- ;- ;- ;3515004052;;;;;;;;
Jardim Nossa Senhora de Fátima;  6 019 ;  2 991 ;  3 028 ;  6 019 ;  2 991 ;  3 028 ;- ;- ;- ;3515004053;;;;;;;;
Jardim Novo Campo Limpo;  5 749 ;  2 797 ;  2 952 ;  5 749 ;  2 797 ;  2 952 ;- ;- ;- ;3515004054;;;;;;;;
Jardim Novo Embu;  1 637 ;   745 ;   892 ;  1 637 ;   745 ;   892 ;- ;- ;- ;3515004055;;;;;;;;
Jardim Pinheirinho;  6 800 ;  3 348 ;  3 452 ;  6 800 ;  3 348 ;  3 452 ;- ;- ;- ;3515004056;;;;;;;;
Jardim Pinheiros;  1 257 ;   612 ;   645 ;  1 257 ;   612 ;   645 ;- ;- ;- ;3515004057;;;;;;;;
Jardim Presidente Kennedy;  3 124 ;  1 512 ;  1 612 ;  3 124 ;  1 512 ;  1 612 ;- ;- ;- ;3515004058;;;;;;;;
Jardim Recanto da Fonte;   496 ;   240 ;   256 ;   496 ;   240 ;   256 ;- ;- ;- ;3515004059;;;;;;;;
Jardim Sadie;  1 638 ;   778 ;   860 ;  1 638 ;   778 ;   860 ;- ;- ;- ;3515004060;;;;;;;;
Jardim Santa Bárbara;   555 ;   280 ;   275 ;   555 ;   280 ;   275 ;- ;- ;- ;3515004061;;;;;;;;
Jardim Santa Clara;  2 891 ;  1 400 ;  1 491 ;  2 891 ;  1 400 ;  1 491 ;- ;- ;- ;3515004062;;;;;;;;
Jardim Santa Emília;  2 721 ;  1 299 ;  1 422 ;  2 721 ;  1 299 ;  1 422 ;- ;- ;- ;3515004063;;;;;;;;
Jardim Santa Luzia;  3 165 ;  1 571 ;  1 594 ;  3 165 ;  1 571 ;  1 594 ;- ;- ;- ;3515004064;;;;;;;;
Jardim Santa Maria;   375 ;   188 ;   187 ;   375 ;   188 ;   187 ;- ;- ;- ;3515004065;;;;;;;;
Jardim Santa Rita;   846 ;   407 ;   439 ;   846 ;   407 ;   439 ;- ;- ;- ;3515004066;;;;;;;;
Jardim Santa Tereza;  10 105 ;  4 807 ;  5 298 ;  10 105 ;  4 807 ;  5 298 ;- ;- ;- ;3515004067;;;;;;;;
Jardim Santo Antonio;  4 087 ;  2 010 ;  2 077 ;  4 087 ;  2 010 ;  2 077 ;- ;- ;- ;3515004068;;;;;;;;
Jardim Santo Eduardo;  12 802 ;  6 145 ;  6 657 ;  12 802 ;  6 145 ;  6 657 ;- ;- ;- ;3515004069;;;;;;;;
Jardim São Francisco;  3 305 ;  1 617 ;  1 688 ;  3 305 ;  1 617 ;  1 688 ;- ;- ;- ;3515004070;;;;;;;;
Jardim São Luiz;  5 185 ;  2 522 ;  2 663 ;  5 185 ;  2 522 ;  2 663 ;- ;- ;- ;3515004071;;;;;;;;
Jardim São Marcos;  8 832 ;  4 302 ;  4 530 ;  8 832 ;  4 302 ;  4 530 ;- ;- ;- ;3515004072;;;;;;;;
Jardim Silvia;  4 402 ;  2 134 ;  2 268 ;  4 402 ;  2 134 ;  2 268 ;- ;- ;- ;3515004073;;;;;;;;
Jardim Taima;   607 ;   293 ;   314 ;   607 ;   293 ;   314 ;- ;- ;- ;3515004074;;;;;;;;
Jardim Tome;  1 021 ;   503 ;   518 ;  1 021 ;   503 ;   518 ;- ;- ;- ;3515004075;;;;;;;;
Jardim Valo Verde;  6 965 ;  3 352 ;  3 613 ;  6 965 ;  3 352 ;  3 613 ;- ;- ;- ;3515004076;;;;;;;;
Jardim Vazame;  5 380 ;  2 582 ;  2 798 ;  5 380 ;  2 582 ;  2 798 ;- ;- ;- ;3515004077;;;;;;;;
Jardim Vista Alegre;  11 311 ;  5 563 ;  5 748 ;  11 311 ;  5 563 ;  5 748 ;- ;- ;- ;3515004078;;;;;;;;
Jardim Vitória;  2 296 ;  1 155 ;  1 141 ;  2 296 ;  1 155 ;  1 141 ;- ;- ;- ;3515004079;;;;;;;;
Maranhão;   23 ;   13 ;   10 ;   23 ;   13 ;   10 ;- ;- ;- ;3515004080;;;;;;;;
Maria Auxiliadora;  2 399 ;  1 133 ;  1 266 ;  2 399 ;  1 133 ;  1 266 ;- ;- ;- ;3515004081;;;;;;;;
Maria Imaculada;   36 ;   16 ;   20 ;   36 ;   16 ;   20 ;- ;- ;- ;3515004082;;;;;;;;
Moinho Velho;   230 ;   113 ;   117 ;   230 ;   113 ;   117 ;- ;- ;- ;3515004084;;;;;;;;
Mundo Real;   18 ;   10 ;   8 ;   18 ;   10 ;   8 ;- ;- ;- ;3515004083;;;;;;;;
Paranapanema;  1 048 ;   535 ;   513 ;  1 048 ;   535 ;   513 ;- ;- ;- ;3515004085;;;;;;;;
Parque das Chácaras;  4 259 ;  2 099 ;  2 160 ;  4 259 ;  2 099 ;  2 160 ;- ;- ;- ;3515004086;;;;;;;;
Parque dos Caetes;   87 ;   45 ;   42 ;   87 ;   45 ;   42 ;- ;- ;- ;3515004087;;;;;;;;
Parque Francisco Rizzo;   23 ;   13 ;   10 ;   23 ;   13 ;   10 ;- ;- ;- ;3515004088;;;;;;;;
Parque Industrial;   42 ;   22 ;   20 ;   42 ;   22 ;   20 ;- ;- ;- ;3515004089;;;;;;;;
Parque Luiza;  2 426 ;  1 156 ;  1 270 ;  2 426 ;  1 156 ;  1 270 ;- ;- ;- ;3515004090;;;;;;;;
Parque Pirajussara;  10 084 ;  4 805 ;  5 279 ;  10 084 ;  4 805 ;  5 279 ;- ;- ;- ;3515004091;;;;;;;;
Parque São Leonardo;  1 587 ;   775 ;   812 ;  1 587 ;   775 ;   812 ;- ;- ;- ;3515004092;;;;;;;;
Pedreira;X ;X ;X ;X ;X ;X ;X ;X ;X ;3515004094;;;;;;;;
Perove;   210 ;   107 ;   103 ;   210 ;   107 ;   103 ;- ;- ;- ;3515004095;;;;;;;;
Pindorama;   75 ;   33 ;   42 ;   75 ;   33 ;   42 ;- ;- ;- ;3515004096;;;;;;;;
Ponta Pora;   406 ;   200 ;   206 ;   406 ;   200 ;   206 ;- ;- ;- ;3515004097;;;;;;;;
Prado Rangel;   73 ;   35 ;   38 ;   73 ;   35 ;   38 ;- ;- ;- ;3515004098;;;;;;;;
Quinhau;X ;X ;X ;X ;X ;X ;X ;X ;X ;3515004099;;;;;;;;
Quinta do morro;   219 ;   114 ;   105 ;   219 ;   114 ;   105 ;- ;- ;- ;3515004100;;;;;;;;
Ressaca;   241 ;   125 ;   116 ;   241 ;   125 ;   116 ;- ;- ;- ;3515004101;;;;;;;;
Santa Rosa;  2 000 ;   971 ;  1 029 ;  2 000 ;   971 ;  1 029 ;- ;- ;- ;3515004102;;;;;;;;
Tingidor;   180 ;   78 ;   102 ;   180 ;   78 ;   102 ;- ;- ;- ;3515004103;;;;;;;;
Vale do Sol;   559 ;   270 ;   289 ;   559 ;   270 ;   289 ;- ;- ;- ;3515004104;;;;;;;;
Vila Bonfim;   835 ;   413 ;   422 ;   835 ;   413 ;   422 ;- ;- ;- ;3515004105;;;;;;;;
Vila Carmem;  1 647 ;   769 ;   878 ;  1 647 ;   769 ;   878 ;- ;- ;- ;3515004106;;;;;;;;
Vila Isis Cristina;  2 389 ;  1 182 ;  1 207 ;  2 389 ;  1 182 ;  1 207 ;- ;- ;- ;3515004107;;;;;;;;
Vila Olinda;  4 208 ;  1 981 ;  2 227 ;  4 208 ;  1 981 ;  2 227 ;- ;- ;- ;3515004108;;;;;;;;
Vila Pereque;  2 119 ;  1 026 ;  1 093 ;  2 119 ;  1 026 ;  1 093 ;- ;- ;- ;3515004109;;;;;;;;
Vila Real;   941 ;   475 ;   466 ;   941 ;   475 ;   466 ;- ;- ;- ;3515004110;;;;;;;;
Vila Regina;  2 405 ;  1 171 ;  1 234 ;  2 405 ;  1 171 ;  1 234 ;- ;- ;- ;3515004111;;;;;;;;
Vila Votorantim;   131 ;   62 ;   69 ;   131 ;   62 ;   69 ;- ;- ;- ;3515004112;;;;;;;;
Guaratinguetá;  112 072 ;  53 946 ;  58 126 ;  106 762 ;  51 197 ;  55 565 ;  5 310 ;  2 749 ;  2 561 ;3518404;;;;;;;;
Aeronáutica;  1 332 ;   692 ;   640 ;  1 332 ;   692 ;   640 ;- ;- ;- ;3518404031;;;;;;;;
Aeroporto;  3 938 ;  1 916 ;  2 022 ;  3 938 ;  1 916 ;  2 022 ;- ;- ;- ;3518404020;;;;;;;;
Alto Jardim do Vale;  2 977 ;  1 498 ;  1 479 ;  2 977 ;  1 498 ;  1 479 ;- ;- ;- ;3518404034;;;;;;;;
Alto Pedregulho;  4 387 ;  1 967 ;  2 420 ;  4 387 ;  1 967 ;  2 420 ;- ;- ;- ;3518404013;;;;;;;;
Beira Rio;  2 989 ;  1 478 ;  1 511 ;  2 989 ;  1 478 ;  1 511 ;- ;- ;- ;3518404023;;;;;;;;
Bela Vista;  2 286 ;  1 062 ;  1 224 ;  2 286 ;  1 062 ;  1 224 ;- ;- ;- ;3518404021;;;;;;;;
Campo do Galvão;  3 110 ;  1 483 ;  1 627 ;  3 110 ;  1 483 ;  1 627 ;- ;- ;- ;3518404006;;;;;;;;
Centro Histórico;  3 818 ;  1 656 ;  2 162 ;  3 818 ;  1 656 ;  2 162 ;- ;- ;- ;3518404001;;;;;;;;
Clube dos 500;  3 000 ;  1 497 ;  1 503 ;  3 000 ;  1 497 ;  1 503 ;- ;- ;- ;3518404027;;;;;;;;
Cohab;  2 628 ;  1 236 ;  1 392 ;  2 628 ;  1 236 ;  1 392 ;- ;- ;- ;3518404015;;;;;;;;
Engenheiro Neiva;  4 044 ;  2 003 ;  2 041 ;  4 044 ;  2 003 ;  2 041 ;- ;- ;- ;3518404025;;;;;;;;
Figueira;  2 108 ;   999 ;  1 109 ;  2 108 ;   999 ;  1 109 ;- ;- ;- ;3518404005;;;;;;;;
Jardim do Vale;  5 491 ;  2 745 ;  2 746 ;  5 491 ;  2 745 ;  2 746 ;- ;- ;- ;3518404035;;;;;;;;
Jardim Esperança;  3 967 ;  1 975 ;  1 992 ;  3 967 ;  1 975 ;  1 992 ;- ;- ;- ;3518404024;;;;;;;;
Jardim Rony;  2 305 ;  1 081 ;  1 224 ;  2 305 ;  1 081 ;  1 224 ;- ;- ;- ;3518404019;;;;;;;;
Nova Guará;  4 775 ;  2 256 ;  2 519 ;  4 775 ;  2 256 ;  2 519 ;- ;- ;- ;3518404008;;;;;;;;
Parque do Sol;  2 550 ;  1 219 ;  1 331 ;  2 550 ;  1 219 ;  1 331 ;- ;- ;- ;3518404022;;;;;;;;
Pedregulho;  2 097 ;   938 ;  1 159 ;  2 097 ;   938 ;  1 159 ;- ;- ;- ;3518404012;;;;;;;;
Pedreira;  3 239 ;  1 562 ;  1 677 ;  3 239 ;  1 562 ;  1 677 ;- ;- ;- ;3518404003;;;;;;;;
Piagui;  1 279 ;   615 ;   664 ;  1 279 ;   615 ;   664 ;- ;- ;- ;3518404040;;;;;;;;
Piedade;  1 313 ;   624 ;   689 ;  1 313 ;   624 ;   689 ;- ;- ;- ;3518404010;;;;;;;;
Pingo de Ouro;  1 828 ;   905 ;   923 ;  1 828 ;   905 ;   923 ;- ;- ;- ;3518404037;;;;;;;;
Pinheiral;   48 ;   22 ;   26 ;   48 ;   22 ;   26 ;- ;- ;- ;3518404018;;;;;;;;
Portal das Colinas;  1 750 ;   840 ;   910 ;  1 750 ;   840 ;   910 ;- ;- ;- ;3518404014;;;;;;;;
Retiro;  1 026 ;   506 ;   520 ;  1 026 ;   506 ;   520 ;- ;- ;- ;3518404036;;;;;;;;
Rio Comprido;  1 855 ;   921 ;   934 ;  1 855 ;   921 ;   934 ;- ;- ;- ;3518404026;;;;;;;;
Santa Clara;  6 137 ;  2 941 ;  3 196 ;  6 137 ;  2 941 ;  3 196 ;- ;- ;- ;3518404030;;;;;;;;
Santa Edwiges;   531 ;   289 ;   242 ;   531 ;   289 ;   242 ;- ;- ;- ;3518404038;;;;;;;;
Santa Luzia;  4 225 ;  2 059 ;  2 166 ;  4 225 ;  2 059 ;  2 166 ;- ;- ;- ;3518404028;;;;;;;;
Santa Rita;  2 063 ;   962 ;  1 101 ;  2 063 ;   962 ;  1 101 ;- ;- ;- ;3518404009;;;;;;;;
São Benedito;  2 789 ;  1 251 ;  1 538 ;  2 789 ;  1 251 ;  1 538 ;- ;- ;- ;3518404002;;;;;;;;
São Bento;  1 929 ;   941 ;   988 ;  1 929 ;   941 ;   988 ;- ;- ;- ;3518404017;;;;;;;;
São Dimas;  2 351 ;  1 140 ;  1 211 ;  2 351 ;  1 140 ;  1 211 ;- ;- ;- ;3518404033;;;;;;;;
São Francisco;  2 598 ;  1 225 ;  1 373 ;  2 598 ;  1 225 ;  1 373 ;- ;- ;- ;3518404029;;;;;;;;
São Manoel;  2 310 ;  1 097 ;  1 213 ;  2 310 ;  1 097 ;  1 213 ;- ;- ;- ;3518404032;;;;;;;;
Tamandaré;  2 879 ;  1 352 ;  1 527 ;  2 879 ;  1 352 ;  1 527 ;- ;- ;- ;3518404004;;;;;;;;
Vila Brasil;  2 805 ;  1 386 ;  1 419 ;  2 805 ;  1 386 ;  1 419 ;- ;- ;- ;3518404016;;;;;;;;
Vila Conselheiro Rodrigues Alves;  2 148 ;   967 ;  1 181 ;  2 148 ;   967 ;  1 181 ;- ;- ;- ;3518404011;;;;;;;;
Vila Paraíba;  2 422 ;  1 132 ;  1 290 ;  2 422 ;  1 132 ;  1 290 ;- ;- ;- ;3518404007;;;;;;;;
Guarujá;  290 752 ;  141 711 ;  149 041 ;  290 696 ;  141 682 ;  149 014 ;   56 ;   29 ;   27 ;3518701;;;;;;;;
Astúrias;  3 402 ;  1 711 ;  1 691 ;  3 402 ;  1 711 ;  1 691 ;- ;- ;- ;3518701001;;;;;;;;
Cachoeira;  14 324 ;  7 136 ;  7 188 ;  14 324 ;  7 136 ;  7 188 ;- ;- ;- ;3518701002;;;;;;;;
Conceiçãozinha;  2 532 ;  1 249 ;  1 283 ;  2 532 ;  1 249 ;  1 283 ;- ;- ;- ;3518701025;;;;;;;;
Enseada I;  12 906 ;  6 297 ;  6 609 ;  12 906 ;  6 297 ;  6 609 ;- ;- ;- ;3518701003;;;;;;;;
Enseada II;  7 977 ;  3 995 ;  3 982 ;  7 977 ;  3 995 ;  3 982 ;- ;- ;- ;3518701035;;;;;;;;
Guaiúba;  1 959 ;   956 ;  1 003 ;  1 959 ;   956 ;  1 003 ;- ;- ;- ;3518701004;;;;;;;;
Guararu;  3 121 ;  1 524 ;  1 597 ;  3 121 ;  1 524 ;  1 597 ;- ;- ;- ;3518701005;;;;;;;;
Helena Maria;  2 242 ;  1 094 ;  1 148 ;  2 242 ;  1 094 ;  1 148 ;- ;- ;- ;3518701006;;;;;;;;
Itapema;  26 070 ;  12 548 ;  13 522 ;  26 070 ;  12 548 ;  13 522 ;- ;- ;- ;3518701026;;;;;;;;
Jardim Acapulco;  1 350 ;   629 ;   721 ;  1 350 ;   629 ;   721 ;- ;- ;- ;3518701007;;;;;;;;
Jardim Boa Esperança;  20 753 ;  10 083 ;  10 670 ;  20 753 ;  10 083 ;  10 670 ;- ;- ;- ;3518701027;;;;;;;;
Jardim Progresso;  6 576 ;  3 177 ;  3 399 ;  6 576 ;  3 177 ;  3 399 ;- ;- ;- ;3518701028;;;;;;;;
Jardim Virgínia 1;  4 193 ;  2 102 ;  2 091 ;  4 193 ;  2 102 ;  2 091 ;- ;- ;- ;3518701008;;;;;;;;
Jardim Virgínia 2;  1 606 ;   821 ;   785 ;  1 606 ;   821 ;   785 ;- ;- ;- ;3518701009;;;;;;;;
Mar e Céu;  11 077 ;  5 410 ;  5 667 ;  11 077 ;  5 410 ;  5 667 ;- ;- ;- ;3518701010;;;;;;;;
Marinas 1;  4 842 ;  2 395 ;  2 447 ;  4 842 ;  2 395 ;  2 447 ;- ;- ;- ;3518701011;;;;;;;;
Marinas 2;  1 722 ;   857 ;   865 ;  1 722 ;   857 ;   865 ;- ;- ;- ;3518701012;;;;;;;;
Morrinhos;  24 387 ;  11 937 ;  12 450 ;  24 387 ;  11 937 ;  12 450 ;- ;- ;- ;3518701029;;;;;;;;
Pae Cará;  26 054 ;  12 509 ;  13 545 ;  26 054 ;  12 509 ;  13 545 ;- ;- ;- ;3518701030;;;;;;;;
Parque Estuário;  8 238 ;  3 980 ;  4 258 ;  8 238 ;  3 980 ;  4 258 ;- ;- ;- ;3518701031;;;;;;;;
Perequê;  9 429 ;  4 720 ;  4 709 ;  9 429 ;  4 720 ;  4 709 ;- ;- ;- ;3518701013;;;;;;;;
Pernambuco;  3 343 ;  1 610 ;  1 733 ;  3 343 ;  1 610 ;  1 733 ;- ;- ;- ;3518701014;;;;;;;;
Pitangueiras;  6 689 ;  3 055 ;  3 634 ;  6 689 ;  3 055 ;  3 634 ;- ;- ;- ;3518701015;;;;;;;;
Porto;  12 012 ;  5 952 ;  6 060 ;  12 012 ;  5 952 ;  6 060 ;- ;- ;- ;3518701032;;;;;;;;
Santa Rosa 1;  11 966 ;  5 647 ;  6 319 ;  11 966 ;  5 647 ;  6 319 ;- ;- ;- ;3518701016;;;;;;;;
Santa Rosa 2;  10 835 ;  5 349 ;  5 486 ;  10 835 ;  5 349 ;  5 486 ;- ;- ;- ;3518701017;;;;;;;;
Santo Amaro 1;X ;X ;X ;X ;X ;X ;X ;X ;X ;3518701018;;;;;;;;
Santo Antônio 1;  13 665 ;  6 647 ;  7 018 ;  13 665 ;  6 647 ;  7 018 ;- ;- ;- ;3518701020;;;;;;;;
Santo Antônio 2;  7 036 ;  3 378 ;  3 658 ;  7 036 ;  3 378 ;  3 658 ;- ;- ;- ;3518701021;;;;;;;;
Tombo;  2 625 ;  1 269 ;  1 356 ;  2 625 ;  1 269 ;  1 356 ;- ;- ;- ;3518701022;;;;;;;;
Tortuga;  2 422 ;  1 196 ;  1 226 ;  2 422 ;  1 196 ;  1 226 ;- ;- ;- ;3518701023;;;;;;;;
Vargem Grande;  1 170 ;   579 ;   591 ;  1 170 ;   579 ;   591 ;- ;- ;- ;3518701033;;;;;;;;
Vila Áurea;  14 340 ;  7 014 ;  7 326 ;  14 340 ;  7 014 ;  7 326 ;- ;- ;- ;3518701034;;;;;;;;
Vila Zilda;  9 551 ;  4 713 ;  4 838 ;  9 551 ;  4 713 ;  4 838 ;- ;- ;- ;3518701024;;;;;;;;
Guarulhos; 1 221 979 ;  595 043 ;  626 936 ; 1 221 979 ;  595 043 ;  626 936 ;- ;- ;- ;3518800;;;;;;;;
Aeroporto Internacional;   499 ;   253 ;   246 ;   499 ;   253 ;   246 ;- ;- ;- ;3518800001;;;;;;;;
Água Azul;  1 527 ;   752 ;   775 ;  1 527 ;   752 ;   775 ;- ;- ;- ;3518800003;;;;;;;;
Água Chata;  7 936 ;  3 959 ;  3 977 ;  7 936 ;  3 959 ;  3 977 ;- ;- ;- ;3518800002;;;;;;;;
Aracília;  2 710 ;  1 356 ;  1 354 ;  2 710 ;  1 356 ;  1 354 ;- ;- ;- ;3518800004;;;;;;;;
Bananal;  33 567 ;  16 634 ;  16 933 ;  33 567 ;  16 634 ;  16 933 ;- ;- ;- ;3518800005;;;;;;;;
Bela Vista;  21 489 ;  10 429 ;  11 060 ;  21 489 ;  10 429 ;  11 060 ;- ;- ;- ;3518800006;;;;;;;;
Bom Clima;  11 763 ;  5 551 ;  6 212 ;  11 763 ;  5 551 ;  6 212 ;- ;- ;- ;3518800007;;;;;;;;
Bonsucesso;  93 597 ;  45 979 ;  47 618 ;  93 597 ;  45 979 ;  47 618 ;- ;- ;- ;3518800008;;;;;;;;
Cabuçu;  45 424 ;  22 153 ;  23 271 ;  45 424 ;  22 153 ;  23 271 ;- ;- ;- ;3518800009;;;;;;;;
Capelinha;   130 ;   74 ;   56 ;   130 ;   74 ;   56 ;- ;- ;- ;3518800011;;;;;;;;
Cecap;  12 073 ;  5 568 ;  6 505 ;  12 073 ;  5 568 ;  6 505 ;- ;- ;- ;3518800012;;;;;;;;
Centro;  17 142 ;  7 950 ;  9 192 ;  17 142 ;  7 950 ;  9 192 ;- ;- ;- ;3518800013;;;;;;;;
Cocaia;  24 697 ;  11 712 ;  12 985 ;  24 697 ;  11 712 ;  12 985 ;- ;- ;- ;3518800014;;;;;;;;
Cumbíca;  91 772 ;  45 800 ;  45 972 ;  91 772 ;  45 800 ;  45 972 ;- ;- ;- ;3518800015;;;;;;;;
Fátima;  15 671 ;  7 445 ;  8 226 ;  15 671 ;  7 445 ;  8 226 ;- ;- ;- ;3518800016;;;;;;;;
Fortaleza;  13 120 ;  6 437 ;  6 683 ;  13 120 ;  6 437 ;  6 683 ;- ;- ;- ;3518800017;;;;;;;;
Gopouva;  28 168 ;  12 984 ;  15 184 ;  28 168 ;  12 984 ;  15 184 ;- ;- ;- ;3518800018;;;;;;;;
Invernada;  14 388 ;  7 150 ;  7 238 ;  14 388 ;  7 150 ;  7 238 ;- ;- ;- ;3518800019;;;;;;;;
Itaím;  29 401 ;  14 506 ;  14 895 ;  29 401 ;  14 506 ;  14 895 ;- ;- ;- ;3518800020;;;;;;;;
Itapegica;  21 280 ;  10 206 ;  11 074 ;  21 280 ;  10 206 ;  11 074 ;- ;- ;- ;3518800021;;;;;;;;
Jardim Vila Galvão;  18 530 ;  8 732 ;  9 798 ;  18 530 ;  8 732 ;  9 798 ;- ;- ;- ;3518800022;;;;;;;;
Lavras;  10 967 ;  5 424 ;  5 543 ;  10 967 ;  5 424 ;  5 543 ;- ;- ;- ;3518800023;;;;;;;;
Macedo;  21 744 ;  10 190 ;  11 554 ;  21 744 ;  10 190 ;  11 554 ;- ;- ;- ;3518800024;;;;;;;;
Maia;  5 981 ;  2 842 ;  3 139 ;  5 981 ;  2 842 ;  3 139 ;- ;- ;- ;3518800025;;;;;;;;
Mato das Cobras;  10 830 ;  5 436 ;  5 394 ;  10 830 ;  5 436 ;  5 394 ;- ;- ;- ;3518800026;;;;;;;;
Monte Carmelo;  7 308 ;  3 490 ;  3 818 ;  7 308 ;  3 490 ;  3 818 ;- ;- ;- ;3518800027;;;;;;;;
Morro Grande;   354 ;   188 ;   166 ;   354 ;   188 ;   166 ;- ;- ;- ;3518800028;;;;;;;;
Morros;  43 159 ;  21 018 ;  22 141 ;  43 159 ;  21 018 ;  22 141 ;- ;- ;- ;3518800029;;;;;;;;
Paraventi;  13 337 ;  6 256 ;  7 081 ;  13 337 ;  6 256 ;  7 081 ;- ;- ;- ;3518800030;;;;;;;;
Picanço;  40 848 ;  19 578 ;  21 270 ;  40 848 ;  19 578 ;  21 270 ;- ;- ;- ;3518800031;;;;;;;;
Pimentas;  156 748 ;  76 613 ;  80 135 ;  156 748 ;  76 613 ;  80 135 ;- ;- ;- ;3518800032;;;;;;;;
Ponte Grande;  17 956 ;  8 514 ;  9 442 ;  17 956 ;  8 514 ;  9 442 ;- ;- ;- ;3518800033;;;;;;;;
Porto da Igreja;   82 ;   39 ;   43 ;   82 ;   39 ;   43 ;- ;- ;- ;3518800034;;;;;;;;
Presidente Dutra;  50 625 ;  24 622 ;  26 003 ;  50 625 ;  24 622 ;  26 003 ;- ;- ;- ;3518800035;;;;;;;;
Sadokim;  4 385 ;  2 207 ;  2 178 ;  4 385 ;  2 207 ;  2 178 ;- ;- ;- ;3518800036;;;;;;;;
São João;  73 176 ;  35 867 ;  37 309 ;  73 176 ;  35 867 ;  37 309 ;- ;- ;- ;3518800037;;;;;;;;
São Roque;  2 222 ;  1 095 ;  1 127 ;  2 222 ;  1 095 ;  1 127 ;- ;- ;- ;3518800038;;;;;;;;
Taboão;  74 933 ;  36 603 ;  38 330 ;  74 933 ;  36 603 ;  38 330 ;- ;- ;- ;3518800039;;;;;;;;
Torres Tibagy;  20 019 ;  9 359 ;  10 660 ;  20 019 ;  9 359 ;  10 660 ;- ;- ;- ;3518800041;;;;;;;;
Tranquilidade;  6 116 ;  2 831 ;  3 285 ;  6 116 ;  2 831 ;  3 285 ;- ;- ;- ;3518800042;;;;;;;;
Várzea do Palácio;  4 333 ;  4 215 ;   118 ;  4 333 ;  4 215 ;   118 ;- ;- ;- ;3518800043;;;;;;;;
Vila Augusta;  23 983 ;  11 289 ;  12 694 ;  23 983 ;  11 289 ;  12 694 ;- ;- ;- ;3518800044;;;;;;;;
Vila Barros;  20 692 ;  9 914 ;  10 778 ;  20 692 ;  9 914 ;  10 778 ;- ;- ;- ;3518800045;;;;;;;;
Vila Galvão;  29 968 ;  13 950 ;  16 018 ;  29 968 ;  13 950 ;  16 018 ;- ;- ;- ;3518800046;;;;;;;;
Vila Rio;  47 050 ;  22 828 ;  24 222 ;  47 050 ;  22 828 ;  24 222 ;- ;- ;- ;3518800047;;;;;;;;
Hortolândia;  192 692 ;  97 439 ;  95 253 ;  192 692 ;  97 439 ;  95 253 ;- ;- ;- ;3519071;;;;;;;;
RP 1-1;  8 603 ;  4 262 ;  4 341 ;  8 603 ;  4 262 ;  4 341 ;- ;- ;- ;3519071001;;;;;;;;
RP 2-2;  2 248 ;  1 134 ;  1 114 ;  2 248 ;  1 134 ;  1 114 ;- ;- ;- ;3519071002;;;;;;;;
RP 2-3;  1 744 ;   885 ;   859 ;  1 744 ;   885 ;   859 ;- ;- ;- ;3519071003;;;;;;;;
RP 2-4;  3 916 ;  1 825 ;  2 091 ;  3 916 ;  1 825 ;  2 091 ;- ;- ;- ;3519071004;;;;;;;;
RP 2-5;  1 020 ;   510 ;   510 ;  1 020 ;   510 ;   510 ;- ;- ;- ;3519071005;;;;;;;;
RP 2-6;  7 144 ;  3 568 ;  3 576 ;  7 144 ;  3 568 ;  3 576 ;- ;- ;- ;3519071006;;;;;;;;
RP 2-7;  4 320 ;  2 139 ;  2 181 ;  4 320 ;  2 139 ;  2 181 ;- ;- ;- ;3519071007;;;;;;;;
RP 2-8;  7 560 ;  3 688 ;  3 872 ;  7 560 ;  3 688 ;  3 872 ;- ;- ;- ;3519071008;;;;;;;;
RP 2-9;  10 607 ;  5 227 ;  5 380 ;  10 607 ;  5 227 ;  5 380 ;- ;- ;- ;3519071009;;;;;;;;
RP 3-10;  37 433 ;  18 469 ;  18 964 ;  37 433 ;  18 469 ;  18 964 ;- ;- ;- ;3519071010;;;;;;;;
RP 3-11;   106 ;   58 ;   48 ;   106 ;   58 ;   48 ;- ;- ;- ;3519071011;;;;;;;;
RP 3-12;   914 ;   457 ;   457 ;   914 ;   457 ;   457 ;- ;- ;- ;3519071012;;;;;;;;
RP 3-13;  1 035 ;   514 ;   521 ;  1 035 ;   514 ;   521 ;- ;- ;- ;3519071013;;;;;;;;
